park_code,park_name,fee_per_car,fee_per_person,street_address,city,state,zip_code,phone_number,email_address,lat,lng,Weather Summary,num_of_trails,avg_difficulty,avg_rating
cuis,Cumberland Island National Seashore,10.00,12.00,113 St. Marys St W,St. Marys,GA,31558,9128824336,cuis_info@nps.gov,30.85857484,-81.45253575,"Cumberland Island’s climate is hot and humid during summer when temperatures tend to be in the 80's (>26 C) and mild during winter when temperatures tend to be in the 60's (<20 C). The warmest month of the year is July with an average high of 90 degrees F (32 C), while the coldest is January with an average low of 45 degrees F (44 C). Visit the Current Conditions page for an up-to-date local forecast: https://www.nps.gov/cuis/planyourvisit/conditions.htm#weather",0.0,0.0,0.0
cure,Curecanti National Recreation Area,0,0,102 Elk Creek,Gunnison,CO,81230,N/A,cure_info@nps.gov,38.46584558,-107.3303371,"Weather can vary greatly throughout the day. Summer daytime temperatures range between 50 to 90F (10 to 32C), nights 40 to 60F (4 to 15C). Winter daytime temperatures range between -20 to +40F (-29 to +4C), nights -30 to +20F (-34 to -7C). Precipitation is minimal, but afternoon thunderstorms and strong winds are common during the summer. Snow accumulation varies greatly year to year. Layered clothing appropriate for the season is recommended.",0.0,0.0,0.0
cuva,Cuyahoga Valley National Park,0,0,6947 Riverview Road,Peninsula,OH,44264,N/A,cuva_info@nps.gov,41.26093905,-81.57116722,"Spring's rain and warming temperatures bring new leaves on trees, blooming wildflowers, and visitors anxious get out on the trail. Summer temperatures range from 49 to 95 degrees F and can be humid. Dressing in layers is advisable. Fall temperatures can range from low 70s during the day to freezing during the night. Fall foliage often peaks in mid-October. Winter weather conditions can rapidly change due to the lake effect snow from Lake Erie. Temperatures vary from mid-30s to below zero.",45.0,2.3777777777777778,4.222222222222222
deva,Death Valley National Park,30.00,15.00,PO Box 579,Death Valley,CA,92328,7607863200,deva_information@nps.gov,36.48753731,-117.134395,"SPRING is the most popular time to visit Death Valley. Warm and sunny days with the possibility of spring wildflowers is a big attraction. SUMMER starts early in Death Valley. By May the valley can be scorching hot. AUTUMN arrives in late October, with warm but pleasant temperatures and generally clear skies. WINTER has cool days, chilly nights and rarely, rainstorms. With snow capping the high peaks and low angled winter light, this season is especially beautiful for exploring the valley.",31.0,2.161290322580645,4.290322580645161
dewa,Delaware Water Gap National Recreation Area,0.00,10.00,1978 River Road,Bushkill,PA,18324,5704262452,dewa_interpretation@nps.gov,41.12793491,-74.94751173,Spring: Temperatures usually range from lows of 26 F to highs of 80 F with average rainfall of 5 inches. Summer: Temperatures usually range from lows of 55 F to highs of 85 F with average rainfall of 4 inches. Fall: Temperatures usually range from lows of 30 F to highs of 83F. Fall foliage is at its peak sometime in October as daily mountain temperatures vary frequently and influence the change. Winter: Temperatures usually range from lows of 15 F to highs of 49 F.,0.0,0.0,0.0
dena,Denali National Park & Preserve,0,0,Mile 237 Highway 3,Denali Park,AK,99755,N/A,denali_info@nps.gov,63.29777484,-151.0526568,"Summer is typically cool and wet, with highs typically in the upper 50s to low 60s, and lows in the 40s. On occasion, summer highs reach the low 80s, though this is rare. Snow can fall any month of the year, so be prepared for chilly weather even in summer. Fall colors emerge on the alpine tundra in August and in the low valleys in early September. Winter generally starts in mid-September, with temps often getting down to -40 by January. Spring is a short season in April / May, with highs above freezing.",11.0,2.4545454545454546,4.2727272727272725
depo,Devils Postpile National Monument,0,0,Devils Postpile Access Road,Mammoth Lakes,CA,93546,N/A,depo_visitor_information@nps.gov,37.6152564,-119.0873903,"Devils Postpile National Monument is located at 7,560 feet above sea level just west of the Sierra Nevada crest. As such, it experiences typical summer weather in the Sierras. Afternoon thunderstorms are possible in July and August. Daytime temperatures can range from the mid-70s to to mid-80s (degrees Fahrenheit). Evening temperatures can drop into the low 40s (and even the low 30s in the months of September and October).",0.0,0.0,0.0
deto,Devils Tower National Monument,25.00,15.00,149 State Highway 110,Devils Tower,WY,82714,3074675283,deto_interpretation@nps.gov,44.59064655,-104.7156341,"Obtain forecast information before beginning your adventure at Devils Tower National Monument and observe changing weather conditions. Thunderstorms can develop quickly bringing lightning, hail, rain, slippery rock surfaces, and hypothermia. Summer days can bring very hot temperatures. Carry enough water, and realize the rock of the Tower can reach over 100 degrees Fahrenheit. Winter weather can bring blowing snow and road closures. Check local forecasts and road conditions before visiting.",0.0,0.0,0.0
dino,Dinosaur National Monument,25.00,15.00,11625 E 1500 S,Jensen,UT,84035,4357817700,dino_information@nps.gov,40.50739742,-108.9333714,"Dinosaur's climate is semiarid with temperatures averaging between 0°F to 30°F in January and 50°F to 100°F in July. Extreme winter low temperatures may reach -40°F and summer highs can top 110°F. Elevations within the park vary between 4,700 and 9,000 feet. Winter snow may be heavy at higher elevations while only light to moderate snow is found at lower elevations. Summer thunderstorms may cause heavy downpours and localized flooding, but fail to dampen parched soils less than a mile away.",0.0,0.0,0.0
ebla,Ebey's Landing National Historical Reserve,0.00,10.00,162 Cemetery Road,Coupeville,WA,98239,3606786084,ebla_administration@nps.gov,48.21403036,-122.6877213,"Fall and Winter often bring blustery and rainy weather, and while winter storm watching might be fun from the many beaches within the Reserve, it's important to watch for high waves and logs coming ashore. Always dress appropriately for the weather, which can change suddenly from warm to chilly very quickly.",0.0,0.0,0.0
efmo,Effigy Mounds National Monument,0,0,151 Hwy 76,Harpers Ferry,IA,52146,N/A,efmo_interpretation@nps.gov,43.08095081,-91.19687517,All four seasons are represented in this area with summer temperature in the upper 80’s with higher heat indexes due to humidity and winter daytime highs in the 20's. Temperatures are in °Fahrenheit.,0.0,0.0,0.0
elca,El Camino Real de Tierra Adentro National Historic Trail,0,0,National Trails Office  Regions 6|7|8,Santa Fe,NM,87505,N/A,ntir_information@nps.gov,33.7990672546,-106.866386195,"Due to the length of El Camino Real de Tierra Adentro National Historic Trail, be sure to consult local weather sources for the region you'll be visiting. Check out the forecast with the National Weather Service and search for the area you'd like to visit: weather.gov",0.0,0.0,0.0
elte,El Camino Real de los Tejas National Historic Trail,0,0,National Trails Office Regions 6|7|8,Santa Fe,NM,87505,N/A,ntir_information@nps.gov,30.0922964581,-97.3397666725,"Due to the length of El Camino de los Tejas National Historic Trail, be sure to consult local weather sources for the region you'll be visiting. Check out the forecast with the National Weather Service and search for the area you'd like to visit: www.weather.gov",0.0,0.0,0.0
elma,El Malpais National Monument,0,0,1900 E. Santa Fe Ave.,Grants,NM,87020,N/A,elma_social_media@nps.gov,34.88422799,-107.9950948,"As a general rule, daily temperatures swing roughly 30 (F) from night lows to afternoon highs. Summer is sunny and hot with monsoon rain storms and an average high of 80 (F). Winter is cool, sunny, with potential snow storms and an average high of 45 (F). Spring and fall are generally dry with the occasional storm rain and/or snow storm. For more information on weather and current weather conditions visit https://www.nps.gov/elma/planyourvisit/weather.htm",0.0,0.0,0.0
elmo,El Morro National Monument,0,0,Mile Marker 44.6 Hwy 53,Ramah,NM,87321,N/A,wendy_gordge@nps.gov,35.03895916,-108.3463984,"At an elevation of 7,219 feet (2200 meters) winters can be cold and snowy. Summers are warm with afternoon thunder showers from mid-July through mid-September. Trails can close unexpectedly due to severe weather. Average snowfall: 40 inches per year. Average precipitation (snowmelt and rain): 16 inches per year. Warmest month: July, with average highs of 84 degrees and lows of 52 degrees. Coldest months: December and January, with average lows of 14-15 degrees, and average highs of 44-45 degrees.",0.0,0.0,0.0
elro,Eleanor Roosevelt National Historic Site,0,0,54 Valkill Park Road,Hyde Park,NY,12538,N/A,margaret_laffin@nps.gov,41.76208482,-73.89894026,"Spring: Temperatures usually range from 40°F to 70°F. Rain is not uncommon. Summer: Temperatures usually range from 70° F to 100° F. Humidity can be high throughout the summer months with periods of rain. Fall: Temperatures usually range from 40° F to 70° F. Peak leaf season is mid-October. Rain is not uncommon. Winter: Temperatures usually range from 30° F to 50°F. Ice, Freezing Rain and Snow are not uncommon.",0.0,0.0,0.0
ever,Everglades National Park,30.00,25.00,40001 State Road 9336,Homestead,FL,33034,3052427700,ever_information@nps.gov,25.37294225,-80.88200301,The climate in Florida is known to be mild and sunny.The average annual temperatures for South Florida and the Keys range from 74° to 77°F (23° to 25°C). There are two seasons at the Everglades National Park: the wet season and the dry season. The wet season runs from Mid-May to November and the dry season runs from December to mid-May.,12.0,1.0,3.8333333333333335
fiis,Fire Island National Seashore,0,0,120 Laurel Street,Patchogue,NY,11772,N/A,FIIS_Information@nps.gov,40.69668638,-73.00013462,"Spring: Temperatures may range from high 30s to low 50s (F). Rain and sun are equally common. Summer: Temperatures usually range from 65 F to 90 F. Fall: Temperatures from 70 F in early autumn to 40 F later in the season may be expected. Winter: Temperatures in the 30s (F) are common, with below freezing temperatures possible.",0.0,0.0,0.0
frst,First State National Historical Park,0,0,New Castle Court House Museum,New Castle,DE,19720,N/A,firststate@nps.gov,39.83076929,-75.56353942,"For details and information, visit, http://www.nps.gov/frst/index.htm.",0.0,0.0,0.0
flni,Flight 93 National Memorial,0,0,6424 Lincoln Highway,Stoystown,PA,15563,N/A,flni_superintendent@nps.gov,40.06061476,-78.89456905,"Fall-Winter Cooler weather starts in September with warm days and cool nights. The first snowfall of the season occurs by mid-October and extends through late March to mid-April. Daytime temperatures range in the mid-20s to 30s, with periodic warming in the 40s and 50s. The average annual snowfall is approximately 80 inches for Somerset County. Spring-Summer May is more predictable for warmer weather with daytime temperatures in the 60s and 70s. July and August are also mild with highs in the 80s-90s",0.0,0.0,0.0
flfo,Florissant Fossil Beds National Monument,0,0,15807 Teller County Road 1,Florissant,CO,80816,N/A,flfo_information@nps.gov,38.91260586,-105.2803396,Winter months - average high 40 degrees F; average low 5 degrees F; Summer months - average high 75 degrees F; average low 40 degrees F;,0.0,0.0,0.0
fobo,Fort Bowie National Historic Site,0,0,3500 South Apache Pass Road,Bowie,AZ,85605,N/A,chir_interpretation@nps.gov,32.14925942,-109.451132,,0.0,0.0,0.0
foda,Fort Davis National Historic Site,10.00,15.00,101 Lt. Flipper Dr. #1379,Fort Davis,TX,79734,1-432-426-3224,FODA_Superintendent@nps.gov,30.59930381,-103.8961904,Summer Temperatures average a High of 95 and low of 65. Winter Temperatures average a High of 60 and a low of 20. Wind is very common and heavy rainfall is very sporadic.,0.0,0.0,0.0
fodo,Fort Donelson National Battlefield,0,0,174 National Cemetery Drive,Dover,TN,37058,N/A,fodo_administration@nps.gov,36.49019078,-87.92445695,Fort Donelson National Battlefield traditionally experiences mild to moderate winters and hot summers with an average high of 90 degrees in the summer and 40 in winter; average lows in the winter are 30 degrees but single digits are not unusual. Rainfall in the area averages 53 inches a year with an additional 6 inches of ice/snow and violent thunderstorms can take place at any time of year.,0.0,0.0,0.0
fofo,Fort Foote Park,0,0,8915 Fort Foote Road,Oxon Hill,MD,20745,N/A,pisc_superintendent@nps.gov,38.76901785,-77.02812387,"Summers are generally hot and humid, with daytime highs frequently above 90 degrees Fahrenheit and scattered afternoon thunderstorms. Please carry water while participating in physical activity and be prepared to take shelter from lightning. Winters are generally cold, with nighttime lows frequently near freezing and occasional snowfall. Weather during spring and fall is generally moderate, but can change quickly.",0.0,0.0,0.0
fofr,Fort Frederica National Monument,0,0,Fort Frederica National Monument,St. Simons Island,GA,31522,N/A,FOFR_administration@nps.gov,31.2214699,-81.39452014,"The site enjoys mild climate from fall through early summer, followed by hot, humid summers.",0.0,0.0,0.0
fomc,Fort McHenry National Monument and Historic Shrine,0,0,2400 East Fort Avenue,Baltimore,MD,21230,N/A,FOMC_Interpretation@nps.gov,39.26395314,-76.58044165,"Temperatures and weather in the spring and fall months tend to be mild. Ice, snow, and freezing temperatures can occur during winter. Extreme heat can occur during the summer months. Inclement weather may impact park hours of operation year round. Refer to the park alerts or call ahead to confirm operating hours.",0.0,0.0,0.0
fomr,Fort Monroe National Monument,0,0,41 Bernard Road,Fort Monroe,VA,23651-1001,N/A,fomr_interpretation@nps.gov,37.01733343,-76.30103195,"Spring: Temperatures range from 40 F to 70 F with rain being common. Summer: Temperatures range from 75 F to 100 F with rain and sun equally common. On very sunny days, be prepared with plenty of water. Fall: Temperatures usually range from 40 F to 65 F. Hurricanes are more likely to threaten the are at this time of year. If planning a visit during this time, please be mindful of the storm activity. Winter: Temperatures range from 40 F to 50 F on average with snow being uncommon.",0.0,0.0,0.0
fone,Fort Necessity National Battlefield,0,0,1 Washington Parkway,Farmington,PA,15437,N/A,fone_interpretation@nps.gov,39.81306048,-79.59033344,"Weather varies considerably within each season. Be prepared with layered clothing. Precipitation is common throughout the year. Spring: Temperatures usually range from 25°F to 70°F. On average, May is the wettest month. Summer: Temperatures usually range from 50°F to 80°F. July is the warmest month. Fall: Temperatures usually range from 30°F to 70°F. Fall foliage is at its peak around mid-October. Winter: Temperatures range from 15°F to 40°F. January is the coldest month.",0.0,0.0,0.0
fopu,Fort Pulaski National Monument,0,0,101 Fort Pulaski Road,Savannah,GA,31410,N/A,fopu_information@nps.gov,32.0308274,-80.93361681,"Savannah has a humid sub tropical climate with over two hundred days of sunshine each year. Summers are typically hot, bright and humid with afternoon thunderstorms common. Temperatures often range from the lower 70s to the mid 90s F. Spring and autumn can be quite pleasant with temperatures ranging from the upper 50s into the 80s F. The winter months are usually dry. Temperatures can be cooler than one would expect, ranging from the upper 30s through the 60s F generally, though sudden cold snaps can occur.",0.0,0.0,0.0
fost,Fort Stanwix National Monument,0,0,100 North James St.,Rome,NY,13440,N/A,fost_info@nps.gov,43.21053441,-75.45557626,"The Park lies within a temperate zone and experiences four full seasons. Summer can become very hot and humid. Snow is common as late as May and as early as October. The fort area can become muddy in all seasons. With most activities outdoors, good closed-toe walking shoes and low heels are advised. Air conditioning and heating is limited to park visitor center most times in the year. Water and extra layers of clothing in all seasons are always recommended!",0.0,0.0,0.0
fous,Fort Union Trading Post National Historic Site,0,0,15550 Highway 1804,Williston,ND,58801,N/A,fous_socialmedia@nps.gov,48.00075828,-104.0375238,"Weather in western North Dakota can be harsh, with extremes in temperature and sudden, violent storms. Be prepared for rapidly changing conditions. Summers are warm with average high temperatures in the 80s-90s May through September. Winters are cold with average lows in the single digits December through February. Wind is considerable year-round. Conditions can change quickly. Travelers should be aware of the potential for violent thunderstorms in the summer and the possibility of blizzards.",0.0,0.0,0.0
fobu,Fossil Butte National Monument,0,0,864 Chicken Creek Road,Kemmerer,WY,83101,N/A,fobu_interpretation@nps.gov,41.85635223,-110.7624754,"Expect a variety of weather conditions no matter what time of year you visit. Spring, fall and winter can be very cold; expect snow and winter conditions. Spring: Day time temperatures usually range from 30 F to 65 F Summer: Day time temperatures range from 60 F to 90 F Fall: Day time temperatures range from 45 F to 70 F Winter: Day time temperatures range from -20 F to 30 F",0.0,0.0,0.0
frsp,Fredericksburg & Spotsylvania National Military Park,0,0,120 Chatham Ln,Fredericksburg,VA,22405,N/A,FRSP_Info@nps.gov,38.29378,-77.46734,"The regional climate is characterized by mild winters and warm, humid summers. The mean annual temperatures is 56 degrees Fahrenheit. The average summer temperature is 75 degrees Fahrenheit. Daytime highs during the summer can reach the 90s, and nighttime lows are in the lower 60s. Daytime highs in the winter are typically in the upper 40s, and nighttime lows in the middle 20s. Precipitation is well distributed throughout the year, with the minimum amount in August and the maximum in February.",0.0,0.0,0.0
frhi,Friendship Hill National Historic Site,0,0,223 New Geneva Rd.,Point Marion,PA,15470,N/A,frhi_superintendent@nps.gov,39.77543423,-79.92504169,"Weather varies considerably within each season. Be prepared with layered clothing. Precipitation is common throughout the year. Spring: Temperatures usually range from 25°F to 70°F. On average, May is the wettest month. Summer: Temperatures usually range from 50°F to 80°F. July is the warmest month. Fall: Temperatures usually range from 30°F to 70°F. Fall foliage is at its peak around mid-October. Winter: Temperatures range from 15°F to 40°F. January is the coldest month.",0.0,0.0,0.0
gaar,Gates Of The Arctic National Park & Preserve,0,0,101 Dunkel St,Fairbanks,AK,99701,N/A,fair_information@nps.gov,67.75961636,-153.2917758,"The climate of Gates of the Arctic National Park & Preserve is generally classified as arctic and sub-arctic, with exceptionally cold winters, relatively mild summers, low annual precipitation, and generally high winds. The weather is influenced by many different systems, and can change rapidly.!!",0.0,0.0,0.0
gewa,George Washington Birthplace National Monument,0,0,1732 Popes Creek Road,Colonial Beach,VA,22443,N/A,gewa_superintendent@nps.gov,38.19362603,-76.92079458,George Washington Birthplace can be very warm and humid in the summer months and cold and dry in the winter. Spring and fall are the best seasons to visit.,0.0,0.0,0.0
gett,Gettysburg National Military Park,0,0,1195 Baltimore Pike,Gettysburg,PA,17325,N/A,GETT_Superintendent@nps.gov,39.81557366,-77.23246758,https://www.nps.gov/gett/planyourvisit/weather.htm,0.0,0.0,0.0
gicl,Gila Cliff Dwellings National Monument,0,0,26 Jim Bradford Trail,Mimbres,NM,88049,N/A,gicl_information@nps.gov,33.22715258,-108.2706711,"Weather is extremely variable. Summers are usually in the 90s F but approach 100° F. Winters have occasional snow or temperatures near 0° F. Thunderstorms are common in the summer and early fall, usually in the afternoon. Thunderstorms and lightning may cause temporary closures of the monument.",0.0,0.0,0.0
glba,Glacier Bay National Park & Preserve,0,0,1 Park Road,Gustavus,AK,99826,N/A,glba_administration@nps.gov,58.80086718,-136.8407579,"Summer temperatures average 50° to 60° F (10° to 15° C). Rain is the norm in lush southeast Alaska. It is best to be prepared to enjoy the park in any kind of weather, especially rain. Suggested clothing includes waterproof boots, rain gear, a hat, gloves, wool or pile layers or a warm coat. Good rain gear is essential here. April, May and June are usually the driest months of the year. September and October tend to be the wettest.",1.0,1.0,4.5
glac,Glacier National Park,35.00,30.00,64 Grinnell Drive,West Glacier,MT,59936,406-888-7800,glac_questions@nps.gov,48.68414678,-113.8009306,"Glacier's weather is highly variable and can be extreme. Expect warm sunny summer days and in the winter the temperatures can fall well below freezing. Glacier's geography, straddling the Continental Divide, sets the stage for clashes of two very different climates. Warm, wet Pacific air moves in from the west, and cold dry Arctic air from the northeast. They meet at the Divide.",81.0,3.4691358024691357,4.444444444444445
glca,Glen Canyon National Recreation Area,30.00,15.00,691 Scenic View Rd.,Page,AZ,86040,9286086200,glca_carl_hayden@nps.gov,36.9357464677,-111.485594268,"The weather in Glen Canyon National Recreation Area is usually typical for the high deserts. Summers are extremely hot with little, if any, shade. Winters are moderately cold with night time lows often below freezing. Spring weather is highly variable and unpredictable with extended periods of winds. Fall weather is usually nice and mild, a great time to beat the heat (and the crowds!).",0.0,0.0,0.0
goga,Golden Gate National Recreation Area,0,0,Golden Gate National Recreation Area,San Francisco,CA,94123-0022,N/A,goga_socialmedia_goga@nps.gov,37.85982543,-122.6007386,"Winter is characterized by sporadic rain and cool weather punctuated by brilliant sunshine. In winter the grass greens. Trees and flowers dormant through winter start blooming in late February or early March and last until May or June. By July, summer fog predominates in most coastal areas of the park. Grasses and plants have now turned to the golden brown and muted grays characteristic of California summer and fall. September and October skies are clear and sunshine is abundant everywhere in the park.",0.0,0.0,0.0
gosp,Golden Spike National Historical Park,20.00,10.00,6200 North 22300 West,"Promontory, Utah",UT,84307,4354712209,gosp_interpretation@nps.gov,41.61947508,-112.5242653,"Golden Spike National Historical Park is located in a high desert environment in the Promontory Mountains near the north end of the Great Salt Lake. The temperatures can reach over 100 degrees in the summer and dip into single digits in the winter, with much of the park blanketed in snow. Visitors are recommended to check forecasts before coming to our site and come prepared for changing weather conditions.",0.0,0.0,0.0
grca,Grand Canyon National Park,35.00,20.00,20 South Entrance Road,Grand Canyon,AZ,86023,928-638-7888,grca_information@nps.gov,36.0001165336,-112.121516363,"This weather varies with cold winters and mild pleasant summers, moderate humidity, and considerable diurnal temperature changes at the higher elevations, with hot and drier summers at the bottom of the Grand Canyon along with cool damp winters. Summer thunderstorms and winter snowfall adds to the weather variety in this region.",63.0,3.7301587301587302,4.555555555555555
para,Grand Canyon-Parashant National Monument,0,0,345 East Riverside Drive,St. George,UT,84790,N/A,para_interpretation@nps.gov,36.41535465,-113.6682797,"Parashant is split between low elevation Mojave Desert on the west side and high elevation pinyon/juniper/ponderosa highlands on the east side. Expect sun on average 310 days per year. The summer months of June through September are very hot on the west side with highs above 100°F daily (80°F+ at night) below 2,500 feet. The high elevation east side is ~15°F cooler. Expect heavy afternoon monsoon storms June - September. Roads often stay muddy/icy above 5,500 feet December - February.",0.0,0.0,0.0
grpo,Grand Portage National Monument,0,0,170 Mile Creek Road,Grand Portage,MN,55605,N/A,grpo_information@nps.gov,47.99294217,-89.75573031,"Short, warm summers and long, cold winters define the climate of northern Minnesota. Average range of summer temperature is from 55°F to 78°F in July and average range of winter temperatures is from –11°F to 12°F in January. Average annual precipitation in Grand Portage, MN is about 32 inches.",0.0,0.0,0.0
grte,Grand Teton National Park,35.00,20.00,103 Headquarters Loop,Moose,WY,83012,307-739-3399,grte_info@nps.gov,43.81853565,-110.7054666,"Grand Teton National Park has long, cold winters—snow and frost are possible any month. April, May, & June - Mild days and cool nights alternate with rain and snow. July & August - Warm days and cool nights prevail, with afternoon thundershowers common. September, October, & November - Sunny days and cold nights alternate with rain and occasional snowstorms. December to April - Between storms the days are sunny and nights are frigid. Snow blankets the mountains and valley.",65.0,3.2153846153846155,4.523076923076923
grko,Grant-Kohrs Ranch National Historic Site,0,0,251 Grant Circle,Deer Lodge,MT,59722,N/A,grko_interpretation@nps.gov,46.41358923,-112.7467024,"Spring: Temperatures can fluctuate greatly. Sub-freezing temperatures in the morning can give way to mild days. Snow in early spring, rain in late season. Summer: Temperatures can average 70-80 F, but can reach highs of 100 F. Rain rare. Dry and hot. Fall: Temperatures can fluctuate greatly. Sub-freezing mornings can give way to mild days. Rain in early fall likely. Winter: Temperature can fall to -30 F, with highs of 10-20 F. Snow is possible. Cold weather gear is highly recommended.",0.0,0.0,0.0
grba,Great Basin National Park,0,0,Lehman Caves Visitor Center,Baker,NV,89311,N/A,grba_interpretation@nps.gov,38.94617378,-114.2579782,"There is almost an 8,000 ft (2,400 m) difference in elevation between Wheeler Peak and the valley floor. Weather conditions in the park vary with elevation. In late spring and early summer, days in the valley may be hot, yet the snow pack may not have melted in the higher elevations. The Great Basin is a desert, with low relative humidity and sharp drops in temperature at night. In the summer, fierce afternoon thunderstorms are common. It can snow any time of the year at high elevations.",14.0,3.142857142857143,4.464285714285714
greg,Great Egg Harbor River,0,0,Route 50,Estell Manor,NJ,08330,N/A,paul_kenney@nps.gov,39.3042,-74.6497,"Temperate, with a moderating influence of the Atlantic Ocean.",0.0,0.0,0.0
grfa,Great Falls Park,20.00,10.00,9200 Old Dominion Dr.,McLean,VA,22102,7037573101,gwmp_superintendent@nps.gov,38.98776107,-77.25128326,"The Washington, D.C. area has a four-season Mid-Atlantic climate. Summertime is warm and humid, while winter can be cold and snowy. Precipitation averages 2-4” monthly, year-round.",0.0,0.0,0.0
grsa,Great Sand Dunes National Park & Preserve,25.00,20.00,Visitor Center,Mosca,CO,81146,7193786395,grsa_interpretation@nps.gov,37.79256812,-105.5919572,"Temperatures are relatively cool all year, thanks to the park and preserve's high elevation. Conditions are most often calm, but winds can arise, especially in spring and during storm fronts. Daytime temperatures feel warmer here year round due to intense high-altitude sunlight, and a scorching mid-day summer sand surface. Plan to explore the dunes morning or evening during summer. Nights are cool in summer, and frigid in winter. Visit the Great Sand Dunes website for the most accurate weather forecasts.",10.0,3.4,4.25
grsm,Great Smoky Mountains National Park,0,0,107 Park Headquarters Road,Gatlinburg,TN,37738,N/A,GRSM_Smokies_Information@nps.gov,35.60116374,-83.50818326,"Elevations in the park range from approximately 875 feet to 6,643 feet and the topography can drastically affect local weather. Temperatures can vary by 10-20 degrees Fahrenheit from mountain base to top, and clear skies lower down do not guarantee equally pleasant weather at higher elevations.",181.0,3.408839779005525,4.2845303867403315
gree,Greenbelt Park,0,0,6565 Greenbelt Road,Greenbelt,MD,20770,N/A,kevin_barry@nps.gov,38.98328267,-76.89722133,"The Washington, D.C. area has a four-season Mid-Atlantic climate. Summertime is warm and humid, while winter can be cold and snowy. Spring: During these months of transition, the weather can alternate from warm, humid air coming from the south to cold, dry air coming from the northwest. Be prepared for changing conditions. Summer: The warmest months are June, July, and August, with average highs in the 80s (~31 ?) combined with high humidity. Fall: Expect a drop in temperature and humidity in September",0.0,0.0,0.0
gumo,Guadalupe Mountains National Park,0,0,400 Pine Canyon,Salt Flat,TX,79847,N/A,gumo_information@nps.gov,31.92304462,-104.885527,"The Guadalupe Mountains are known for high winds year-round; gusts can reach 60MPH or higher. In winter the mountains experiences occasional, light snowfalls which seldom last more than a day. From May through October, temperatures vary with highs between 80F-100F+ with lows in the 40F-60F range. November to April is generally milder with highs in between 50F-70F with lows in the 30F-50F range. Elevations above 8,000’ will be about 10F cooler than headquarters, with corresponding wind-chill.",15.0,3.8,4.4
guis,Gulf Islands National Seashore,15.00,25.00,1801 Gulf Breeze Parkway,Gulf Breeze,FL,32563,8509342600,guis_information@nps.gov,30.29924926,-87.75064297,"Weather along the northern coast of the Gulf of Mexico can change quickly. During the winter temperatures range from 40-70 degrees fahrenheit, rain is less common than other seasons. Snow and freezing temperatures are not common. During the summer temperatures range from 70-100+ degrees fahrenheit. Rain is common during the summer with many thunderstorms. Hurricanes impact the area during the tropical storm season between June and November. Tornadoes can impact the area during the Spring and Fall.",0.0,0.0,0.0
hafo,Hagerman Fossil Beds National Monument,0,0,17970 U.S. Hwy 30,Hagerman,ID,83332,N/A,hafo_information@nps.gov,42.79074114,-114.9443074,"Hagerman, Idaho, gets 10 inches of rain per year. On average, there are 213 sunny days per year in Hagerman, Idaho. The July high is around 94 degrees. The January low is 22. Our comfort index, which is based on humidity during the hot months, is a 78 out of 100, where higher is more comfortable. The US average on the comfort index is 44.",0.0,0.0,0.0
hale,Haleakala National Park,30.00,15.00,Haleakala National Park,Kula,HI,96790,8085724400,hale_interpretation@nps.gov,20.70693015,-156.1591775,"On any given day, the temperatures in the park can range from a high of 80°F (27°C) in Kīpahulu to a low of 30°F (-1°C) at the summit. In either area clouds and rain can quickly replace warm sunshine. Weather in the high-elevation summit and wilderness areas of the park is highly unpredictable and changes often. Cool temperatures, intense solar radiation, and rapidly moving clouds are characteristic. On average, the temperature drops about 3°F for every 1,000 foot rise in elevation.",13.0,3.4615384615384617,4.615384615384615
hamp,Hampton National Historic Site,0,0,535 Hampton Lane,Towson,MD,21286,N/A,Paul_Plamann@nps.gov,39.4175296,-76.58781182,Weather during the spring and fall months tend to be mild. Visitors can expect mild to severe seasonal weather during the winter and summer months. Inclement weather may impact park hours of operation year round. Refer to the park alerts or call ahead to confirm operating hours.,0.0,0.0,0.0
hafe,Harpers Ferry National Historical Park,20.00,10.00,Harpers Ferry National Historical Park,Harpers Ferry,WV,25425,3045356029,harpersferry_info@nps.gov,39.31865949,-77.74088546,"Harpers Ferry experiences all four seasons - the cold and snow of winter, the rain and flowers of spring, the humidity and sunshine of summer, and the chill and leave change of fall. We will strive to keep you up-to-date as Harpers Ferry's landscape changes with the seasons. To see the current weather or the forecasted weather for Harpers Ferry, please visit the National Weather Service site and set the zip code to 25425.",0.0,0.0,0.0
havo,Hawaii Volcanoes National Park,30.00,15.00,1 Crater Rim Drive,Hawaii National Park,HI,96718,8089856011,havo_information@nps.gov,19.3355036,-155.4700257,"The weather at Kīlauea's summit (4000' elevation) varies daily and may be rainy and chilly any time of the year. Temperature varies by elevation. At the summit of the volcano, temperatures may be 12 to 15 degrees cooler than at sea level. The coastal plain at the end of Chain of Craters Road, where lava crossed the road in 2003, is often hot, dry, and windy with the possibility of passing showers.",21.0,2.7142857142857144,4.238095238095238
heho,Herbert Hoover National Historic Site,0,0,110 Parkside Drive,West Branch,IA,52358,N/A,heho_information@nps.gov,41.66793558,-91.35232139,"Spring and fall are mild with moderate temperatures. Average high temperatures in the spring and fall are between 50° and 60° F, with lows from 40° F to 50° F. Summer is hot and humid with average highs around 85° F. Winter can be cold, windy, and snowy with highs averaging 30° F or lower. Rain and thunderstorms are most frequent in the spring and summer.",0.0,0.0,0.0
