park_code,num_of_trails,avg_difficulty,avg_rating,park_name,fee_per_car,fee_per_person,street_address,city,state,zip,phone,email,lat,lng,weather_summary
arpo,0.0,0.0,0.0,Arkansas Post National Memorial,0.0,0.0,1741 Old Post Road,Gillett,AR,72055,0,teresa_donaldson@nps.gov,34.00389998,-91.30837178,"Arkansas shares the same climate classification as the rest of the southeastern United States: humid subtropical. This type of climate features relatively mild winters and hot, steamy summers."
asis,0.0,0.0,0.0,Assateague Island National Seashore,25.0,10.0,7206 National Seashore Lane,Berlin,MD,21811,4106411441,asis_information@nps.gov,38.05593172,-75.24524611,"Spring: Often windy and cool with lows in the 40's and highs in the 60's. Summer: Hot and humid with lows in the 60's and highs in the 80's. Fall: Warm with lows in the 50's and highs in the 70's. Winter: Damp cold and often windy. Lows in the 20's, highs in the 40's."
azru,0.0,0.0,0.0,Aztec Ruins National Monument,0.0,0.0,725 Ruins Road,Aztec,NM,87410,0,azru_information@nps.gov,36.83682216,-107.9999245,"Summer High temperatures range between 80°F and 99°F degrees with a few days over 100°F. Afternoon thunderstorms usually cool things down in late July and August. Fall Usually pleasant, with mild days and crisp nights. Winter Daytime temperatures range between 20°F and 50°F with cold nights that can reach 0°F. Snow is periodic, but accumulations are typically only 1-2 inches. Spring Weather is especially unpredictable: it can be windy, cold, and wet, or still, warm, and dry."
band,0.0,0.0,0.0,Bandelier National Monument,25.0,15.0,Bandelier National Monument,Los Alamos,NM,87544,5056723861,band_visitor_center@nps.gov,35.77898596,-106.3317124,"Spring daytime temperatures in the 70's can be followed by a snow storm with wet heavy snow and daytime temperatures in the 40's. Summers are dry with June usually being the hottest month of the year. Days in July, August and September often end with thunderstorms that can drop heavy localized rain and are often accompanied by lightning. Autumn weather is usually sunny with blue skies and warm (but not hot) days and cool nights. Winter average snowfall 25"". Snow and ice can close trails and roads."
beol,0.0,0.0,0.0,Bent's Old Fort National Historic Site,0.0,0.0,35110 State Highway 194,La Junta,CO,81050,0,beol_interpretation@nps.gov,38.03977546,-103.4266499,"Summer temperatures are are often in the high 90s and low 100s. Weather is generally fair in the fall and spring. Winter temperatures can be below freezing. Most of the fort is unheated and does not have modern cooling systems, so dress accordingly."
bela,0.0,0.0,0.0,Bering Land Bridge National Preserve,0.0,0.0,214 Front St.,Nome,AK,99762,0,bela_interpretation@nps.gov,65.96087902,-164.4086432,"Weather in the Seward Peninsula is generally characterized by long freezing winters and short, cool summers. Coastal areas typically have mild weather, while the interior has greater seasonal variation in temperature and precipitation."
bicy,0.0,0.0,0.0,Big Cypress National Preserve,0.0,0.0,33100 Tamiami Trail East,Ochopee,FL,34141,0,bicy_information@nps.gov,25.97079602,-81.08120629,"Big Cypress National Preserve experiences two predominant seasons- wet and dry. RAINY SEASON (May through October) While visiting during this season you may find daily afternoon thunderstorms, high humidity, temperatures in the mid-to-high 80s and a multitude of mosquitoes. DRY SEASON (November through April) Falling water levels within Big Cypress make this a pleasant time to hike, camp, and watch wildlife."
biho,0.0,0.0,0.0,Big Hole National Battlefield,0.0,0.0,16425 Highway 43 West,Wisdom,MT,59761,0,biho_visitor_information@nps.gov,45.64647324,-113.6458443,"This climatic region is typified by large seasonal temperature differences, with warm to hot (and often humid) summers and cold (sometimes severely cold) winters. Wisdom has a humid continental climate."
biso,0.0,0.0,0.0,Big South Fork National River & Recreation Area,0.0,0.0,4564 Leatherwood Road,Oneida,TN,37841,0,biso_information@nps.gov,36.5348388,-84.66506688,"The weather along the Cumberland Plateau can be best described as unpredictable. Each season brings its own weather patterns. Summers are generally hot and humid, with high temperatures sometimes eclipsing 90 degrees. The low temperatures in winter often dip below freezing. Spring sees the most amount of precipitation, but rainfall can occur in various amounts throughout the year."
bith,0.0,0.0,0.0,Big Thicket National Preserve,0.0,0.0,6102 FM 420,Kountze,TX,77625,0,bith_information@nps.gov,30.457983431,-94.386742115,"SPRING: Expect comfortable weather in Mar/Apr, with heat & humidity increasing in May. SUMMER: High heat, high humidity, and thunderstorms are common. Hurricane & tropical storm activity peaks in late summer. FALL: Early fall can be hot, while Oct/Nov bring pleasant temperatures. WINTER: Mild, chilly weather with occasional cold spells. Snow is rare, though Dec/Jan/Feb nights may dip below freezing."
bica,0.0,0.0,0.0,Bighorn Canyon National Recreation Area,0.0,0.0,Bighorn Canyon National Recreation Area South District Visitor Center,Lovell,WY,82431,0,BICA_media@nps.gov,45.13154227,-108.1443943,"North District: Semi-arid, receiving 18 to 20 inches of rain annually. South District: High-desert, receiving 6 to 10 inches of rain annually. Summer temperatures: Highs in the 80s (F) and 90s (F), lows in the 50s (F) and 60s (F). Summer temperatures can peak over 100 degrees. Winter temperatures: Range in the 20s and 30s with low temperatures averaging the 10s (F) and 20s (F). During the winter the thermometer can drop below 0 (F) with extreme wind chill factors."
blri,0.0,0.0,0.0,Blue Ridge Parkway,0.0,0.0,Milepost 384,Asheville,NC,28803,0,blri_info@nps.gov,35.5657195274,-82.486484587,"The weather on the parkway can vary widely along its 469-mile route. Precipitation is possible any time of the year. Winter can be cold and snowy, especially at the higher elevations. Spring and fall can have large temperature swings, from near freezing to over 80 degrees Fahrenheit. Summers are hot in the lower elevations, but the highest elevations remain cooler. Summertime thunderstorms are common, so be prepared for weather changes."
blue,0.0,0.0,0.0,Bluestone National Scenic River,0.0,0.0,3405 Pipestem Drive,Pipestem,WV,25979,0,neri_interpretation@nps.gov,37.56577087,-80.98366657,"Summer: Temperatures range from low to mid 60's at night to middle to upper 80's during the daytime hours. Winter: Temperatures average from the mid 20's to the mid 40's. Snowfall amount varies, but averages 5"" per month Dec. - March. Spring and Fall: temperatures and rainfall variable. Peak fall foliage is usually mid-October."
bowa,0.0,0.0,0.0,Booker T Washington National Monument,0.0,0.0,12130 Booker T. Washington Highway,Hardy,VA,24101,0,bowa_rangers_3@nps.gov,37.11520539,-79.73185833,Please contact the park at 540/721-2094 during inclement weather conditions to find out about closures.
boha,0.0,0.0,0.0,Boston Harbor Islands National Recreation Area,0.0,0.0,15 State Street,Boston,MA,02109,0,BOHA_Information@nps.gov,42.30905526,-70.93941138,"The Boston Harbor Islands have a humid maritime climate characterized by slightly cooler temperatures than the mainland, so dress in layers. Typical summer conditions feature air temperatures approximately 5-10 degrees cooler than the mainland between 60-80 Fahrenheit, winds of 0-15 knots and waves of 1-3 feet."
buis,0.0,0.0,0.0,Buck Island Reef National Monument,0.0,0.0,2100 Church St. #100,"Christiansted, St. Croix",VI,00820,0,CHRI_Education@nps.gov,17.81026717,-64.6222179,Welcome to the tropics!
buff,0.0,0.0,0.0,Buffalo National River,0.0,0.0,170 Ranger Road,St. Joe,AR,72675,0,buff_information@nps.gov,36.04116481,-92.90761584,Summer in the Ozarks can be very hot and humid. Please check the weather forecast prior to your arrival and plan accordingly. The weather the rest of the year has the potential to be wet and cool or dry and warm. Please pay special attention to river levels and the rain forecast when planning a trip on the river. River levels can rise dramatically in a short period of time so please be aware of conditions.
cabr,0.0,0.0,0.0,Cabrillo National Monument,20.0,10.0,1800 Cabrillo Memorial Drive,San Diego,CA,92106,6195234285,cabr_info@nps.gov,32.6722503,-117.2415985,"Check the current weather from the National Weather Service at https://www.weather.gov/. San Diego's climate is characterized by warm, dry summers and mild winters, with most of the annual precipitation falling between December and March. The city has a mild climate year-round, with an average of 201 days above 70 °F (21 °C) and low rainfall (9–13 inches [230–330 mm] annually)."
cali,0.0,0.0,0.0,California National Historic Trail,0.0,0.0,National Trails Office Regions 6|7|8,Santa Fe,NM,87505,0,ntir_information@nps.gov,42.3999643979,-108.702415369,"Due to the length of the California National Historic Trail, be sure to consult local weather sources for the region you'll be visiting. Check out the forecast with the National Weather Service and search for the area you'd like to visit: weather.gov"
cane,0.0,0.0,0.0,Camp Nelson National Monument,0.0,0.0,6614 Danville Road Loop 2,Nicholasville,KY,40356,0,cane_info@nps.gov,37.7970179913,-84.598168306,"Kentucky has a moderate climate, where summers are humid with highs typically in the upper 80s, and winter highs are in the low 40s. Of course, be aware of the possibility of storms or more extreme temperatures on occasion. The wettest months are March - July when about 4 inches of rain per month are expected, with other months of the year are usually drier."
cana,0.0,0.0,0.0,Canaveral National Seashore,20.0,10.0,"Apollo Visitor Center,",New Smyrna Beach,FL,32169,3864283384,Ashley_Lord@nps.gov,28.78637529,-80.75419576,"Summer: Hot & humid (Temperatures average in the 90's) Winter months: Temperatures in the 40-70 degree range, with a ""cold spells"" where temps down to the low to mid-30's). Hurricane Season: June 1st through November 30th (most activity normally occurs in August or September)"
cach,0.0,0.0,0.0,Canyon de Chelly National Monument,0.0,0.0,3 miles E of Highway 191 on Route 7,Chinle,AZ,86503,0,cach_interpretation@nps.gov,36.14319567,-109.3388303,"Canyon de Chelly is located at 5,500 feet. Spring is cool and windy; highs from 50 to 70; lows of 35 degrees. Expect dust storms and canyon flooding. Summer is hot and dry; highs from 85 to 100; lows of 51 degrees. Drink plenty of water outdoors. Fall is warm and often wet; highs from 60 to 80; lows of 40 degrees. Expect lightning, thunderstorms, and flash floods. Winter is cold and breezy; highs from 40 to 60; lows of 18 degrees. Expect 1-4 inches of snow and freezing nighttime temperatures."
caco,0.0,0.0,0.0,Cape Cod National Seashore,25.0,15.0,50 Nauset Road,Eastham,MA,02642,508-255-3421,caco_information@nps.gov,41.92381465,-70.04319832,Cape Cod's weather is generally moderated by its proximity to the ocean. Winter is typically cold with some snow. Spring is often rainy. Summer is usually warm and humid. Fall is generally dry and clear.
caha,0.0,0.0,0.0,Cape Hatteras National Seashore,0.0,0.0,46375 Lighthouse Road,Buxton,NC,27920,0,caha_public_affairs@nps.gov,35.41370839,-75.65061112,The weather along the Outer Banks varies throughout the year and even throughout the day. Please check the National Weather Service information at http://www.weather.gov/mhx/ for forecast information.
cakr,0.0,0.0,0.0,Cape Krusenstern National Monument,0.0,0.0,171 3rd Ave,Kotzebue,AK,99752,0,wear_webmail@nps.gov,67.41499986,-163.5037786,"Snow, rain, and freezing temperatures can occur any time of the year. Always travel with good quality rain gear and warm layers. Be especially careful to stay dry. Hypothermia can set in on a windy, wet day, even when it doesn't feel that cold."
cavo,0.0,0.0,0.0,Capulin Volcano National Monument,20.0,10.0,44 Volcano Road,Capulin,NM,88414,5752782201,cavo_interpretation@nps.gov,36.78171096,-103.9710427,"Elevations range from 7247 feet at the park visitor center to 8182 feet on the crater rim trail. Summers usually have mild temperatures with highs averaging in the low to mid 80s F/30C with occasional afternoon thunderstorms. Winters average from 40F/5C to 50F/10C, but temperatures vary. Snowfall is most common from December into April and may cause temporary closures of the volcano road. Sunny winter days are beautiful days to be in the park. Check weather conditions before visiting."
carl,0.0,0.0,0.0,Carl Sandburg Home National Historic Site,0.0,0.0,81 Carl Sandburg Lane,Flat Rock,NC,28731,8286934178,carl_administration@nps.gov,35.26815509,-82.45106258,Average Monthly Highs and Lows January - 45 / 25 February - 50 / 30 March - 55 / 35 April - 60 / 40 May- 70 / 60 June - 80 / 65 July - 85 / 65 August - 80 / 65 September - 75 / 55 October - 70 / 45 November - 60 / 35 December - 50 / 30
cato,0.0,0.0,0.0,Catoctin Mountain Park,0.0,0.0,14707 Park Central Road,Thurmont,MD,21788,0,CATO_superintendent@nps.gov,39.65068457,-77.46417665,"Summer (June-Aug) average temperature is between 61 and 81 degrees Fahrenheit. Fall (Sep-Nov) average temperature is between 45 and 64 degrees Fahrenheit. Fall foliage is at its peak in mid-October Winter (Dec-Feb) average temperature is between 24 and 41 degrees Fahrenheit. Winter snowfall is between 5-12"" per month. Spring (March-May) average temperature is between 41 and 63 degrees Fahrenheit. Average precipitation is approximately 4 inches per month. (Source: usclimatedata.com)"
cebr,0.0,0.0,0.0,Cedar Breaks National Monument,0.0,0.0,Cedar Breaks National Monument,Brian Head,UT,84719,0,cedarbreaksinfo@nps.gov,37.63545562,-112.845268,"Cedar Breaks sits at over 10,000 feet in elevation and is usually 10-20 degrees cooler than surrounding parks. Be prepared for cooler temperatures and unpredictable weather. Snow, sleet, and hail can occur at any time of the year, even in the summer! Summer-time highs are between 60 and 70°F and night-time lows dip to 30-40s°F. Thunderstorms frequently develop in the afternoons. Be aware of lightning and avoid exposed trails and overlooks until storms pass."
chcu,0.0,0.0,0.0,Chaco Culture National Historical Park,25.0,15.0,1808 CR 7950,Nageezi,NM,87037,5057867014,chcu_information@nps.gov,36.03963414,-107.9560076,"Summer highs are typically in the 80's to mid-90's. Thunderstorms can produce heavy localized downpours and sudden dramatic drops in temperatures. Winter temperatures will drop to well below freezing most nights. If you plan to camp in the winter, prepare for nighttime temperatures in the teens or lower. Spring and Fall are great times to visit with more moderate temperatures, but unexpected storms can change things dramatically. Monitor local weather forecasts."
cham,0.0,0.0,0.0,Chamizal National Memorial,0.0,0.0,800 South San Marcial Street,El Paso,TX,79905,0,cham_information@nps.gov,31.76729634,-106.4544011,"Chamizal National Memorial is open year-round, but periodic winter weather conditions may cause closure. Please check for alerts on the park website: www.nps.gov/cham. Thunderstorms typically occur during summer and early fall. There may be no shelter to avoid lightning, so please prepare by looking at weather forecasts and paying attention to developing weather conditions."
chpi,0.0,0.0,0.0,Charles Pinckney National Historic Site,0.0,0.0,1254 Long Point Road,Mount Pleasant,SC,29464,0,chpi_information@nps.gov,32.84577392,-79.82487582,Winters are generally mild. Summers are hot and humid.
chat,0.0,0.0,0.0,Chattahoochee River National Recreation Area,0.0,0.0,8800 Roberts Drive,Sandy Springs,GA,30350,0,chat_superintendent@nps.gov,33.99698333,-84.28953177,"Summers typically consist of long spells of warm, humid weather. Average highs are in the lower 90's and overnight lows range from the upper 60's to lower 70's. Winters are more variable with highs averaging from the mid 50's to lower 60's while the lows average in the mid 30's. Oftentimes, stretches of mild weather will alternate with cold spells. Spring and Autumn seasons are characterized by much variability from day to day and from year to year."
choh,0.0,0.0,0.0,Chesapeake & Ohio Canal National Historical Park,20.0,10.0,142 W. Potomac St.,Williamsport,MD,21795,301-739-4200,CHOH_Information@nps.gov,39.000283692,-77.2481399539,"The Washington, DC, area has a four-season Mid-Atlantic climate. Summertime is warm and humid, while winter can be cold and snowy. Precipitation averages 2-4” monthly, year-round. The climate gradually gets cooler and wetter further west along the canal where the elevation is higher."
chch,0.0,0.0,0.0,Chickamauga & Chattanooga National Military Park,10.0,0.0,3370 LaFayette Road,Fort Oglethorpe,GA,30742,706-866-9241,chch_information@nps.gov,34.94317623,-85.28749537,"The climate in northern Georgia is generally temperate. Short, cool winters give relief from hot summers. Most visitors enjoy this area during long, mild fall and spring seasons."
chic,0.0,0.0,0.0,Chickasaw National Recreation Area,0.0,0.0,901 W. 1st Street,Sulphur,OK,73086,0,ron_parker@nps.gov,34.46050507,-97.00715669,"Summers are hot and humid. Temperatures above 100ºF occur, and humidity often exceeds 50%. Winters are mild and prolonged freezes are rare. Thunderstorms are common April through July."
chir,0.0,0.0,0.0,Chiricahua National Monument,0.0,0.0,12856 E Rhyolite Creek Rd,Willcox,AZ,85643,0,chir_interpretation@nps.gov,32.01214618,-109.341607,"Chiricahua National Monument ranges from 5,124 feet / 1,562 meters in elevation at the entrance station to 7,310 feet / 2,228 meters at the summit of Sugarloaf Mountain. You can enjoy the differences of four seasons. http://www.nps.gov/chir/planyourvisit/weather.htm"
ciro,0.0,0.0,0.0,City Of Rocks National Reserve,0.0,0.0,City of Rocks National Reserve,Almo,ID,83312,0,ciro_superintendent@nps.gov,42.0699024,-113.7124097,"City of Rocks is located in south-central Idaho within the northern edge of the Basin and Range geologic province. Outdoor recreation can be pleasant from April through October. Summers are generally dry with 10 to 15 inches of precipitation in winter and spring. Summer temperatures range widely with night time lows occasionally approaching freezing and midday highs nearing 100° F; however, the typical range of low and high temperature is 45-85. Thunderstorms are common in the summer months (June - August)"
cwdw,0.0,0.0,0.0,Civil War Defenses of Washington,0.0,0.0,Civil War Defenses of Washington,Washington,DC,20012,0,kenya_finley@nps.gov,38.9644,-77.0292,"Civil War Defenses of Washington sites will be open. For Updates, visit the parks alert section of the website."
colm,0.0,0.0,0.0,Colorado National Monument,25.0,15.0,1750 Rim Rock Drive,Fruita,CO,81521,9708582800,colm_info@nps.gov,39.05045016,-108.6920709,"Spring - Daytime high temperatures 70-85 F (21-30 C), nighttime low temperature 30-50 F (-1 - +10 C). Summer - Daytime high temperatures can reach 100 F (38 C), afternoon thunderstorms common. Fall - Similar to spring temperatures, sudden changes in weather common. Snow can occur in October. Winter - Daytime highs vary from 10 - 45 F (-12 - +7 C). Snow common, patches of snow and ice stay around most of the winter."
coro,0.0,0.0,0.0,Coronado National Memorial,0.0,0.0,4101 E Montezuma Canyon Road,Hereford,AZ,85615,0,coro_interpretation@nps.gov,31.34900397,-110.2561574,"Though the park shares a border with our southern neighbors, the elevation and the mountain ecosystem keep Coronado National Memorial relatively cool in the summer, and winter can bring snow. Summers are warm, with daytime temps in the 90s F (32-37 C) and low humidity in May, June, and July. The summer rainy season (monsoon) is between late June and early September. Monsoon thunderstorms can cause flash floods. Winter temps can fall below freezing at night, with highs 40-60 F (4-15 C)."
crmo,0.0,0.0,0.0,Craters Of The Moon National Monument & Preserve,20.0,15.0,Craters of the Moon National Monument,Arco,ID,83213,2085271300,crmo_information@nps.gov,43.20345611,-113.4791609,"Weather at Craters of the Moon is characterized by hot summers and cold winters. In February, average snow depth ranges from 26 inches at the north end of the monument to just 2 inches at the south end. Intense summer sun bakes the black lava, generating surface temperatures of 170°F and air temperatures in the 90s. Drying winds are a daily occurrence, especially in the afternoon, and may reach 15 to 30 miles per hour."
cuga,0.0,0.0,0.0,Cumberland Gap National Historical Park,0.0,0.0,91 Bartlett Park Road,Middlesboro,KY,40965,0,cuga_interpretation@nps.gov,36.62503076,-83.6114083,"Summers at Cumberland Gap are hot and humid, with temperatures commonly in the mid to upper 90s. Winters are generally mild with rain and some periods of snow January through March. Temperatures usually range in the 30s and 40s. Weather can sometimes be unpredictable, especially at higher elevations."
cuis,0.0,0.0,0.0,Cumberland Island National Seashore,10.0,12.0,113 St. Marys St W,St. Marys,GA,31558,9128824336,cuis_info@nps.gov,30.85857484,-81.45253575,"Cumberland Island’s climate is hot and humid during summer when temperatures tend to be in the 80's (>26 C) and mild during winter when temperatures tend to be in the 60's (<20 C). The warmest month of the year is July with an average high of 90 degrees F (32 C), while the coldest is January with an average low of 45 degrees F (44 C). Visit the Current Conditions page for an up-to-date local forecast: https://www.nps.gov/cuis/planyourvisit/conditions.htm#weather"
cure,0.0,0.0,0.0,Curecanti National Recreation Area,0.0,0.0,102 Elk Creek,Gunnison,CO,81230,0,cure_info@nps.gov,38.46584558,-107.3303371,"Weather can vary greatly throughout the day. Summer daytime temperatures range between 50 to 90F (10 to 32C), nights 40 to 60F (4 to 15C). Winter daytime temperatures range between -20 to +40F (-29 to +4C), nights -30 to +20F (-34 to -7C). Precipitation is minimal, but afternoon thunderstorms and strong winds are common during the summer. Snow accumulation varies greatly year to year. Layered clothing appropriate for the season is recommended."
dewa,0.0,0.0,0.0,Delaware Water Gap National Recreation Area,0.0,10.0,1978 River Road,Bushkill,PA,18324,5704262452,dewa_interpretation@nps.gov,41.12793491,-74.94751173,Spring: Temperatures usually range from lows of 26 F to highs of 80 F with average rainfall of 5 inches. Summer: Temperatures usually range from lows of 55 F to highs of 85 F with average rainfall of 4 inches. Fall: Temperatures usually range from lows of 30 F to highs of 83F. Fall foliage is at its peak sometime in October as daily mountain temperatures vary frequently and influence the change. Winter: Temperatures usually range from lows of 15 F to highs of 49 F.
depo,0.0,0.0,0.0,Devils Postpile National Monument,0.0,0.0,Devils Postpile Access Road,Mammoth Lakes,CA,93546,0,depo_visitor_information@nps.gov,37.6152564,-119.0873903,"Devils Postpile National Monument is located at 7,560 feet above sea level just west of the Sierra Nevada crest. As such, it experiences typical summer weather in the Sierras. Afternoon thunderstorms are possible in July and August. Daytime temperatures can range from the mid-70s to to mid-80s (degrees Fahrenheit). Evening temperatures can drop into the low 40s (and even the low 30s in the months of September and October)."
deto,0.0,0.0,0.0,Devils Tower National Monument,25.0,15.0,149 State Highway 110,Devils Tower,WY,82714,3074675283,deto_interpretation@nps.gov,44.59064655,-104.7156341,"Obtain forecast information before beginning your adventure at Devils Tower National Monument and observe changing weather conditions. Thunderstorms can develop quickly bringing lightning, hail, rain, slippery rock surfaces, and hypothermia. Summer days can bring very hot temperatures. Carry enough water, and realize the rock of the Tower can reach over 100 degrees Fahrenheit. Winter weather can bring blowing snow and road closures. Check local forecasts and road conditions before visiting."
dino,0.0,0.0,0.0,Dinosaur National Monument,25.0,15.0,11625 E 1500 S,Jensen,UT,84035,4357817700,dino_information@nps.gov,40.50739742,-108.9333714,"Dinosaur's climate is semiarid with temperatures averaging between 0°F to 30°F in January and 50°F to 100°F in July. Extreme winter low temperatures may reach -40°F and summer highs can top 110°F. Elevations within the park vary between 4,700 and 9,000 feet. Winter snow may be heavy at higher elevations while only light to moderate snow is found at lower elevations. Summer thunderstorms may cause heavy downpours and localized flooding, but fail to dampen parched soils less than a mile away."
ebla,0.0,0.0,0.0,Ebey's Landing National Historical Reserve,0.0,10.0,162 Cemetery Road,Coupeville,WA,98239,3606786084,ebla_administration@nps.gov,48.21403036,-122.6877213,"Fall and Winter often bring blustery and rainy weather, and while winter storm watching might be fun from the many beaches within the Reserve, it's important to watch for high waves and logs coming ashore. Always dress appropriately for the weather, which can change suddenly from warm to chilly very quickly."
efmo,0.0,0.0,0.0,Effigy Mounds National Monument,0.0,0.0,151 Hwy 76,Harpers Ferry,IA,52146,0,efmo_interpretation@nps.gov,43.08095081,-91.19687517,All four seasons are represented in this area with summer temperature in the upper 80’s with higher heat indexes due to humidity and winter daytime highs in the 20's. Temperatures are in °Fahrenheit.
elca,0.0,0.0,0.0,El Camino Real de Tierra Adentro National Historic Trail,0.0,0.0,National Trails Office  Regions 6|7|8,Santa Fe,NM,87505,0,ntir_information@nps.gov,33.7990672546,-106.866386195,"Due to the length of El Camino Real de Tierra Adentro National Historic Trail, be sure to consult local weather sources for the region you'll be visiting. Check out the forecast with the National Weather Service and search for the area you'd like to visit: weather.gov"
elte,0.0,0.0,0.0,El Camino Real de los Tejas National Historic Trail,0.0,0.0,National Trails Office Regions 6|7|8,Santa Fe,NM,87505,0,ntir_information@nps.gov,30.0922964581,-97.3397666725,"Due to the length of El Camino de los Tejas National Historic Trail, be sure to consult local weather sources for the region you'll be visiting. Check out the forecast with the National Weather Service and search for the area you'd like to visit: www.weather.gov"
elma,0.0,0.0,0.0,El Malpais National Monument,0.0,0.0,1900 E. Santa Fe Ave.,Grants,NM,87020,0,elma_social_media@nps.gov,34.88422799,-107.9950948,"As a general rule, daily temperatures swing roughly 30 (F) from night lows to afternoon highs. Summer is sunny and hot with monsoon rain storms and an average high of 80 (F). Winter is cool, sunny, with potential snow storms and an average high of 45 (F). Spring and fall are generally dry with the occasional storm rain and/or snow storm. For more information on weather and current weather conditions visit https://www.nps.gov/elma/planyourvisit/weather.htm"
elmo,0.0,0.0,0.0,El Morro National Monument,0.0,0.0,Mile Marker 44.6 Hwy 53,Ramah,NM,87321,0,wendy_gordge@nps.gov,35.03895916,-108.3463984,"At an elevation of 7,219 feet (2200 meters) winters can be cold and snowy. Summers are warm with afternoon thunder showers from mid-July through mid-September. Trails can close unexpectedly due to severe weather. Average snowfall: 40 inches per year. Average precipitation (snowmelt and rain): 16 inches per year. Warmest month: July, with average highs of 84 degrees and lows of 52 degrees. Coldest months: December and January, with average lows of 14-15 degrees, and average highs of 44-45 degrees."
elro,0.0,0.0,0.0,Eleanor Roosevelt National Historic Site,0.0,0.0,54 Valkill Park Road,Hyde Park,NY,12538,0,margaret_laffin@nps.gov,41.76208482,-73.89894026,"Spring: Temperatures usually range from 40°F to 70°F. Rain is not uncommon. Summer: Temperatures usually range from 70° F to 100° F. Humidity can be high throughout the summer months with periods of rain. Fall: Temperatures usually range from 40° F to 70° F. Peak leaf season is mid-October. Rain is not uncommon. Winter: Temperatures usually range from 30° F to 50°F. Ice, Freezing Rain and Snow are not uncommon."
fiis,0.0,0.0,0.0,Fire Island National Seashore,0.0,0.0,120 Laurel Street,Patchogue,NY,11772,0,FIIS_Information@nps.gov,40.69668638,-73.00013462,"Spring: Temperatures may range from high 30s to low 50s (F). Rain and sun are equally common. Summer: Temperatures usually range from 65 F to 90 F. Fall: Temperatures from 70 F in early autumn to 40 F later in the season may be expected. Winter: Temperatures in the 30s (F) are common, with below freezing temperatures possible."
frst,0.0,0.0,0.0,First State National Historical Park,0.0,0.0,New Castle Court House Museum,New Castle,DE,19720,0,firststate@nps.gov,39.83076929,-75.56353942,"For details and information, visit, http://www.nps.gov/frst/index.htm."
flni,0.0,0.0,0.0,Flight 93 National Memorial,0.0,0.0,6424 Lincoln Highway,Stoystown,PA,15563,0,flni_superintendent@nps.gov,40.06061476,-78.89456905,"Fall-Winter Cooler weather starts in September with warm days and cool nights. The first snowfall of the season occurs by mid-October and extends through late March to mid-April. Daytime temperatures range in the mid-20s to 30s, with periodic warming in the 40s and 50s. The average annual snowfall is approximately 80 inches for Somerset County. Spring-Summer May is more predictable for warmer weather with daytime temperatures in the 60s and 70s. July and August are also mild with highs in the 80s-90s"
flfo,0.0,0.0,0.0,Florissant Fossil Beds National Monument,0.0,0.0,15807 Teller County Road 1,Florissant,CO,80816,0,flfo_information@nps.gov,38.91260586,-105.2803396,Winter months - average high 40 degrees F; average low 5 degrees F; Summer months - average high 75 degrees F; average low 40 degrees F;
fobo,0.0,0.0,0.0,Fort Bowie National Historic Site,0.0,0.0,3500 South Apache Pass Road,Bowie,AZ,85605,0,chir_interpretation@nps.gov,32.14925942,-109.451132,0
foda,0.0,0.0,0.0,Fort Davis National Historic Site,10.0,15.0,101 Lt. Flipper Dr. #1379,Fort Davis,TX,79734,1-432-426-3224,FODA_Superintendent@nps.gov,30.59930381,-103.8961904,Summer Temperatures average a High of 95 and low of 65. Winter Temperatures average a High of 60 and a low of 20. Wind is very common and heavy rainfall is very sporadic.
fodo,0.0,0.0,0.0,Fort Donelson National Battlefield,0.0,0.0,174 National Cemetery Drive,Dover,TN,37058,0,fodo_administration@nps.gov,36.49019078,-87.92445695,Fort Donelson National Battlefield traditionally experiences mild to moderate winters and hot summers with an average high of 90 degrees in the summer and 40 in winter; average lows in the winter are 30 degrees but single digits are not unusual. Rainfall in the area averages 53 inches a year with an additional 6 inches of ice/snow and violent thunderstorms can take place at any time of year.
fofo,0.0,0.0,0.0,Fort Foote Park,0.0,0.0,8915 Fort Foote Road,Oxon Hill,MD,20745,0,pisc_superintendent@nps.gov,38.76901785,-77.02812387,"Summers are generally hot and humid, with daytime highs frequently above 90 degrees Fahrenheit and scattered afternoon thunderstorms. Please carry water while participating in physical activity and be prepared to take shelter from lightning. Winters are generally cold, with nighttime lows frequently near freezing and occasional snowfall. Weather during spring and fall is generally moderate, but can change quickly."
fofr,0.0,0.0,0.0,Fort Frederica National Monument,0.0,0.0,Fort Frederica National Monument,St. Simons Island,GA,31522,0,FOFR_administration@nps.gov,31.2214699,-81.39452014,"The site enjoys mild climate from fall through early summer, followed by hot, humid summers."
fomc,0.0,0.0,0.0,Fort McHenry National Monument and Historic Shrine,0.0,0.0,2400 East Fort Avenue,Baltimore,MD,21230,0,FOMC_Interpretation@nps.gov,39.26395314,-76.58044165,"Temperatures and weather in the spring and fall months tend to be mild. Ice, snow, and freezing temperatures can occur during winter. Extreme heat can occur during the summer months. Inclement weather may impact park hours of operation year round. Refer to the park alerts or call ahead to confirm operating hours."
